AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,2,2. Østerbro,2,Enlige,Enlige med børn,8,500.000-599.999 kr.,283
2014,2,2. Østerbro,2,Enlige,Enlige med børn,9,600.000-699.999 kr.,160
2014,2,2. Østerbro,2,Enlige,Enlige med børn,10,700.000 kr. og derover,183
2014,2,2. Østerbro,4,Par,Par uden børn,1,-49.999 kr.,78
2014,2,2. Østerbro,4,Par,Par uden børn,2,50.000-99.999 kr.,33
2014,2,2. Østerbro,4,Par,Par uden børn,3,100.000-149.999 kr.,95
2014,2,2. Østerbro,4,Par,Par uden børn,4,150.000-199.999 kr.,175
2014,2,2. Østerbro,4,Par,Par uden børn,5,200.000-299.999 kr.,822
2014,2,2. Østerbro,4,Par,Par uden børn,6,300.000-399.999 kr.,1025
2014,2,2. Østerbro,4,Par,Par uden børn,7,400.000-499.999 kr.,918
2014,2,2. Østerbro,4,Par,Par uden børn,8,500.000-599.999 kr.,839
2014,2,2. Østerbro,4,Par,Par uden børn,9,600.000-699.999 kr.,728
2014,2,2. Østerbro,4,Par,Par uden børn,10,700.000 kr. og derover,2575
2014,2,2. Østerbro,5,Par,Par 1 barn,1,-49.999 kr.,26
2014,2,2. Østerbro,5,Par,Par 1 barn,2,50.000-99.999 kr.,9
2014,2,2. Østerbro,5,Par,Par 1 barn,3,100.000-149.999 kr.,10
2014,2,2. Østerbro,5,Par,Par 1 barn,4,150.000-199.999 kr.,23
2014,2,2. Østerbro,5,Par,Par 1 barn,5,200.000-299.999 kr.,87
2014,2,2. Østerbro,5,Par,Par 1 barn,6,300.000-399.999 kr.,122
2014,2,2. Østerbro,5,Par,Par 1 barn,7,400.000-499.999 kr.,198
2014,2,2. Østerbro,5,Par,Par 1 barn,8,500.000-599.999 kr.,237
2014,2,2. Østerbro,5,Par,Par 1 barn,9,600.000-699.999 kr.,341
2014,2,2. Østerbro,5,Par,Par 1 barn,10,700.000 kr. og derover,1587
2014,2,2. Østerbro,6,Par,Par 2 børn,1,-49.999 kr.,27
2014,2,2. Østerbro,6,Par,Par 2 børn,2,50.000-99.999 kr.,5
2014,2,2. Østerbro,6,Par,Par 2 børn,3,100.000-149.999 kr.,11
2014,2,2. Østerbro,6,Par,Par 2 børn,4,150.000-199.999 kr.,14
2014,2,2. Østerbro,6,Par,Par 2 børn,5,200.000-299.999 kr.,46
2014,2,2. Østerbro,6,Par,Par 2 børn,6,300.000-399.999 kr.,80
2014,2,2. Østerbro,6,Par,Par 2 børn,7,400.000-499.999 kr.,129
2014,2,2. Østerbro,6,Par,Par 2 børn,8,500.000-599.999 kr.,191
2014,2,2. Østerbro,6,Par,Par 2 børn,9,600.000-699.999 kr.,221
2014,2,2. Østerbro,6,Par,Par 2 børn,10,700.000 kr. og derover,1727
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,1,-49.999 kr.,7
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,2,50.000-99.999 kr.,1
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,3,100.000-149.999 kr.,1
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,4,150.000-199.999 kr.,4
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,5,200.000-299.999 kr.,17
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,6,300.000-399.999 kr.,34
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,7,400.000-499.999 kr.,33
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,8,500.000-599.999 kr.,49
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,9,600.000-699.999 kr.,48
2014,2,2. Østerbro,7,Par,Par 3 eller flere børn,10,700.000 kr. og derover,446
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,1,-49.999 kr.,151
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,2,50.000-99.999 kr.,48
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,3,100.000-149.999 kr.,134
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,4,150.000-199.999 kr.,220
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,5,200.000-299.999 kr.,622
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,6,300.000-399.999 kr.,658
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,7,400.000-499.999 kr.,583
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,8,500.000-599.999 kr.,525
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,9,600.000-699.999 kr.,366
2014,2,2. Østerbro,8,Hustande med 2 eller flere familier,,10,700.000 kr. og derover,1407
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,1,-49.999 kr.,509
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,2,50.000-99.999 kr.,1346
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,3,100.000-149.999 kr.,2935
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,4,150.000-199.999 kr.,4132
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,5,200.000-299.999 kr.,3181
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,6,300.000-399.999 kr.,2839
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,7,400.000-499.999 kr.,1765
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,8,500.000-599.999 kr.,743
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,9,600.000-699.999 kr.,277
2014,3,3. Nørrebro,1,Enlige,Enlige uden børn,10,700.000 kr. og derover,287
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,1,-49.999 kr.,28
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,2,50.000-99.999 kr.,34
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,3,100.000-149.999 kr.,194
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,4,150.000-199.999 kr.,557
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,5,200.000-299.999 kr.,521
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,6,300.000-399.999 kr.,471
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,7,400.000-499.999 kr.,344
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,8,500.000-599.999 kr.,172
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,9,600.000-699.999 kr.,63
2014,3,3. Nørrebro,2,Enlige,Enlige med børn,10,700.000 kr. og derover,70
2014,3,3. Nørrebro,4,Par,Par uden børn,1,-49.999 kr.,46
2014,3,3. Nørrebro,4,Par,Par uden børn,2,50.000-99.999 kr.,81
2014,3,3. Nørrebro,4,Par,Par uden børn,3,100.000-149.999 kr.,150
2014,3,3. Nørrebro,4,Par,Par uden børn,4,150.000-199.999 kr.,313
2014,3,3. Nørrebro,4,Par,Par uden børn,5,200.000-299.999 kr.,1219
2014,3,3. Nørrebro,4,Par,Par uden børn,6,300.000-399.999 kr.,1131
2014,3,3. Nørrebro,4,Par,Par uden børn,7,400.000-499.999 kr.,970
2014,3,3. Nørrebro,4,Par,Par uden børn,8,500.000-599.999 kr.,819
2014,3,3. Nørrebro,4,Par,Par uden børn,9,600.000-699.999 kr.,710
2014,3,3. Nørrebro,4,Par,Par uden børn,10,700.000 kr. og derover,1464
2014,3,3. Nørrebro,5,Par,Par 1 barn,1,-49.999 kr.,15
